Treść,Tytuł filmu,Data i godzina publikacji filmu,Czas trwania,Wyświetlenia zamierzone,Średni czas oglądania,Średni procent obejrzenia (%),Kontynuowało oglądanie (%),Unikalni widzowie,Średnia liczba wyświetleń na widza,Nowi widzowie,Powracający widzowie,Przypadkowi widzowie,Stali widzowie,Przychody z transakcji (PLN),Transakcje,Przychody z transakcji (PLN),YouTube Premium (PLN),Reklamy na stronie odtwarzania filmu (PLN),Szacunkowe przychody z DoubleClick (PLN),Szacunkowe przychody z AdSense (PLN),Podbicia,Punkty za podbicia,Pozyskane subskrypcje,Utracone subskrypcje,Polubienia,Oceny negatywne,Polubienia / głosy na nie (%),Udostępnienia,Dodane komentarze,Przychody z reklam w YouTube (PLN),Wyświetlenia reklam,CPM wg odtworzeń (PLN),CPM (PLN),Szacowane odtworzenia generujące przychody,RPM (PLN),Czas oglądania playlisty (godziny),Wyświetlenia z playlist,Wyświetlenia filmów na włączenie playlisty,Wyświetlenia,Czas oglądania (w godzinach),Subskrybenci,Szacunkowe przychody (PLN),Wyświetlenia miniatur,Współczynnik klikalności wyświetlonych miniatur (%)
Suma,,,,2894017,0:18:48,34.39,54.5,0,0,0,0,0,0,1426.218,162,8.804,13751.205,53838.054,0.266,53837.788,2402,1976340,36088,4201,76467,1776,97.73,8123,4806,97900.419,7149287,45.338,13.694,2159356,24.072,34171.9421,78412,1.9169,2904284,906894.6432,31887,69018.462,43408840,4.27
uOp22dC7KfE,Najgroźniejsze Gangi Świata: Bractwo Aryjskie i Los Zetas – Iceberg 3,"Jul 7, 2025",4579,104178,0:26:19,34.49,,,,,,,,0,0,,696.857,3179.37,0,3179.37,4,3840,1177,17,1988,71,96.55,117,112,5780.722,426271,68.092,13.561,84896,37.226,404.5214,762,1.9589,104178,45708.4646,1160,3876.228,2235946,2.91
TFdDOnLIxI8,Policja Bała Się Tam WEJŚĆ? Twierdza Sekty Niebo,"Jan 11, 2026",2747,146486,0:18:35,40.49,100,,,,,,,0,0,,628.796,2853.983,0,2853.983,113,98500,1021,11,2561,60,97.71,1363,154,5198.41,438955,39.305,11.843,132259,24.468,172.2835,515,1.1363,146486,45432.6075,1010,3482.779,2607424,3.79
u1QaxOm1HYA,"Najgroźniejsze Gangi Świata: Mafia Meksykańska, Kinahan Kartel – Iceberg 4","Aug 5, 2025",5315,96535,0:26:43,30.16,,,,,,,,4.774,1,4.774,574.869,2278.983,0,2278.983,91,77730,659,8,1246,57,95.63,123,67,4143.584,299591,63.039,13.831,65731,29.64,394.442,929,1.8597,96535,42988.4908,651,2858.626,1502965,4.47
pPSNJSmyXYI,Czyste Zło Istnieje ? - Najpotężniejsze Mafie Świata Iceberg 1,"May 4, 2025",3121,124070,0:18:40,35.91,50,,,,,,,99.638,11,9.058,535.707,2967.893,0,2967.893,0,0,1376,19,2139,60,97.27,159,90,5396.085,357650,49.569,15.088,108861,29.05,617.2849,1472,1.8609,124083,38627.4904,1357,3603.239,1922749,4.21
rfMZ_g4fLQc,Tajna broń Nazistów w Polsce - Iceberg Teorie Spiskowe 3,"Apr 25, 2024",4328,89355,0:24:37,34.13,100,,,,,,,0,0,,561.962,1289.217,0.066,1289.151,0,0,596,13,1661,64,96.29,165,87,2344.052,158403,35.44,14.798,66141,20.724,2323.6682,3830,3.0544,89355,36666.1087,583,1851.179,1314103,4.42
HGDbMyV1qB0,Spotykają się nocą w lasach -  Iceberg Teorie Spiskowe 2,"Feb 24, 2024",4953,68446,0:29:36,35.87,0,,,,,,,0,0,,522.05,1374.858,0,1374.858,0,0,431,16,1468,53,96.52,150,69,2499.686,192637,47.467,12.976,52662,27.745,4256.3037,6323,3.0538,68446,33774.7217,415,1896.908,911730,4.76
lmKcGfyD5Ck,Dziura która pochłania wszystko - Teorie Spiskowe Iceberg 4,"Nov 14, 2024",3002,114129,0:16:29,32.97,,,,,,,,0,0,,434.441,2537.117,0,2537.117,0,0,2221,47,2700,80,97.12,352,119,4612.944,285214,50.415,16.174,91499,26.059,1168.9716,2559,3.0297,114129,31374.9797,2174,2971.558,1294207,6.2
CN0mr40Zl2M,Co Się Stało w Smoleńsku ? Wszystkie Teorie Spiskowe: Iceberg Część Pierwsza,"Jan 9, 2024",4151,80614,0:22:50,33.02,,,,,,,,0,0,,450.776,0,0,0,0,0,811,30,2238,91,96.09,278,122,,,,,,5.598,5060.4079,12325,1.1178,80614,30695.091,781,450.776,725579,6.49
DSijeJQ3SAA,Ktoś przejął kontrole nad transmisją - Teorie Spiskowe Iceberg 4,"Sep 7, 2024",2906,95559,0:18:02,37.25,0,,,,,,,0,0,,451.513,1644.71,0,1644.71,0,0,1330,19,1970,67,96.71,177,73,2990.426,208086,42.519,14.371,70331,21.957,1364.8643,2974,3.3386,95559,28732.1577,1311,2096.223,1386375,4.58
Dwhb72Ot27g,Najgroźniejsze gangi świata: Mafia Albańska i Czarny Topór – Iceberg 5,"Sep 7, 2025",5162,64421,0:24:20,28.29,,,,,,,,14.238,1,14.238,353.794,2206.278,0,2206.278,67,51270,429,6,900,15,98.36,89,44,4011.45,258729,75.289,15.504,53281,39.991,294.1811,526,1.6037,64421,26131.8498,423,2574.31,887956,4.99
fLaMqc6qIhM,Śmiertelnie Niebezpieczna Wyspa: Sentinel Północny,"Sep 18, 2025",1348,140303,0:08:48,39.24,,,,,,,,0,0,,290.09,2147.992,0,2147.992,83,60340,1019,24,3455,56,98.41,327,242,3905.517,289916,31.647,13.471,123409,17.395,105.961,429,2.7025,140303,20615.3012,995,2438.082,4690892,2.03
7PP5jaWHkgk,Czy żyjesz wśród NPC? Teorie Spiskowe Iceberg 10,"Nov 30, 2025",2954,63951,0:18:31,37.64,,,,,,,,0,0,,320.897,1249.538,0,1249.538,150,142260,519,9,1930,53,97.33,279,152,2271.969,179554,46.406,12.653,48959,24.765,178.8332,495,1.8148,63951,19750.8902,510,1570.435,873749,5
F9DEKUhqRh0,Czyste Zło Powraca:  Najpotężniejsze Mafie Świata Iceberg 2,"Jun 1, 2025",2951,60882,0:18:59,38.6,100,,,,,,,0,0,,273.294,1398.868,0,1398.868,0,0,586,6,1101,29,97.43,67,40,2543.392,170902,53.632,14.882,47423,27.47,410.1576,1061,1.9031,60882,19266.5375,580,1672.162,752040,4.63
Wzd6FJVUHI0,Tajemnicze Kryptydy: Iceberg Część 1,"Mar 7, 2024",3974,52798,0:21:34,32.58,,,,,,,,0,0,,265.651,774.969,0,774.969,0,0,834,15,1533,31,98.02,107,66,1409.07,111583,35.945,12.628,39201,19.721,1096.7609,2469,1.1717,52798,18987.6511,819,1040.62,731425,4.28
GSzEAur2fn8,Tajemnica żony Macrona i klon Miley – Iceberg Teorie Spiskowe #8,"Aug 24, 2025",2714,67528,0:16:30,36.51,,,,,,,,5.698,1,5.698,288.463,1641.16,0,1641.16,152,122320,816,20,2094,87,96.01,188,118,2983.438,202137,49.023,14.759,60858,28.732,305.6696,713,2.5341,67528,18584.7571,796,1935.322,809273,5.81
cRieXrLW2es,"Tom Cruise i sekta, o której NIE WOLNO mówić","Oct 12, 2025",3001,58276,0:18:40,37.33,,,,,,,,0,0,,305.315,1216.346,0,1216.346,93,58530,523,11,1634,44,97.38,177,100,2211.482,157156,48.645,14.072,45462,26.129,126.9827,342,1.6019,58276,18134.7894,512,1521.661,971642,4.13
